year,species_code,ess,region,species_name,iss
2011,10200,ess_m,E,rex sole,28.029962738541627
2013,10200,ess_m,E,rex sole,26.71933767328777
2015,10200,ess_m,E,rex sole,0
2017,10200,ess_m,E,rex sole,40.780047813031985
2019,10200,ess_m,E,rex sole,47.76089863274402
1984,10200,ess_t,E,rex sole,39.129705947046006
1987,10200,ess_t,E,rex sole,33.33013504124399
1990,10200,ess_t,E,rex sole,31.92110081949265
1996,10200,ess_t,E,rex sole,32.11268741861328
1999,10200,ess_t,E,rex sole,0
2003,10200,ess_t,E,rex sole,60.676560391528845
2005,10200,ess_t,E,rex sole,56.604811738145294
2007,10200,ess_t,E,rex sole,0
2009,10200,ess_t,E,rex sole,58.272158138261226
2011,10200,ess_t,E,rex sole,50.143966368557564
2013,10200,ess_t,E,rex sole,51.44284691858332
2015,10200,ess_t,E,rex sole,20.33856319788136
2017,10200,ess_t,E,rex sole,70.62946429754878
2019,10200,ess_t,E,rex sole,95.95780484048584
1993,10200,ess_f,E,rex sole,63.44456676419752
1993,10200,ess_m,E,rex sole,50.65861785392046
1993,10200,ess_t,E,rex sole,98.53078239845257
1984,10200,ess_f,WC,rex sole,32.03703101298769
1987,10200,ess_f,WC,rex sole,29.876084428197196
1990,10200,ess_f,WC,rex sole,26.39980115938169
1993,10200,ess_f,WC,rex sole,63.44456676419752
1996,10200,ess_f,WC,rex sole,14.378598789956865
1999,10200,ess_f,WC,rex sole,0
2001,10200,ess_f,WC,rex sole,231.93180274190274
2003,10200,ess_f,WC,rex sole,32.68247133737459
2005,10200,ess_f,WC,rex sole,32.08025402223073
2007,10200,ess_f,WC,rex sole,0
2009,10200,ess_f,WC,rex sole,36.819226380232855
2011,10200,ess_f,WC,rex sole,31.174734698228235
2013,10200,ess_f,WC,rex sole,33.8648014294905
2015,10200,ess_f,WC,rex sole,0
2017,10200,ess_f,WC,rex sole,36.77095364101778
2019,10200,ess_f,WC,rex sole,54.84673197079158
1984,10200,ess_m,WC,rex sole,13.962921279058456
1987,10200,ess_m,WC,rex sole,9.000201045950412
1990,10200,ess_m,WC,rex sole,44.0526948977371
1993,10200,ess_m,WC,rex sole,50.65861785392046
1996,10200,ess_m,WC,rex sole,11.222717901332652
1999,10200,ess_m,WC,rex sole,0
2001,10200,ess_m,WC,rex sole,153.3499579225621
2003,10200,ess_m,WC,rex sole,36.36804879170686
2005,10200,ess_m,WC,rex sole,28.022143411516527
2007,10200,ess_m,WC,rex sole,0
2009,10200,ess_m,WC,rex sole,27.910995396381075
2011,10200,ess_m,WC,rex sole,28.029962738541627
2013,10200,ess_m,WC,rex sole,26.71933767328777
2015,10200,ess_m,WC,rex sole,0
2017,10200,ess_m,WC,rex sole,40.780047813031985
2019,10200,ess_m,WC,rex sole,47.76089863274402
1984,10200,ess_t,WC,rex sole,39.129705947046006
1987,10200,ess_t,WC,rex sole,33.33013504124399
1990,10200,ess_t,WC,rex sole,31.92110081949265
1993,10200,ess_t,WC,rex sole,98.53078239845257
1996,10200,ess_t,WC,rex sole,32.11268741861328
1999,10200,ess_t,WC,rex sole,0
2001,10200,ess_t,WC,rex sole,306.0244675818101
2003,10200,ess_t,WC,rex sole,60.676560391528845
2005,10200,ess_t,WC,rex sole,56.604811738145294
2007,10200,ess_t,WC,rex sole,0
2009,10200,ess_t,WC,rex sole,58.272158138261226
2011,10200,ess_t,WC,rex sole,50.143966368557564
2013,10200,ess_t,WC,rex sole,51.44284691858332
2015,10200,ess_t,WC,rex sole,20.33856319788136
2017,10200,ess_t,WC,rex sole,70.62946429754878
2019,10200,ess_t,WC,rex sole,95.95780484048584
