year,species_code,length,males,females,unsexed
1996,30152,130,0,0,0
1999,30152,130,0,0,0
2001,30152,130,0,0,0
2003,30152,130,0,0,0
2005,30152,130,40162,0,0
2007,30152,130,0,0,0
2009,30152,130,0,0,0
2011,30152,130,0,0,0
2013,30152,130,0,0,0
2015,30152,130,0,0,0
2017,30152,130,0,0,0
2019,30152,130,0,0,0
2021,30152,130,0,0,0
1996,30152,140,0,0,0
1999,30152,140,0,0,0
2001,30152,140,0,0,0
2003,30152,140,0,0,0
2005,30152,140,0,0,0
2007,30152,140,0,0,0
2009,30152,140,0,0,0
2011,30152,140,0,0,0
2013,30152,140,0,0,0
2015,30152,140,0,0,0
2017,30152,140,0,0,0
2019,30152,140,17066,0,0
2021,30152,140,0,0,0
1996,30152,150,0,0,0
1999,30152,150,0,0,0
2001,30152,150,0,0,0
2003,30152,150,0,0,0
2005,30152,150,0,7269,0
2007,30152,150,0,0,0
2009,30152,150,0,29061,0
2011,30152,150,15687,0,0
2013,30152,150,19862,19862,22381
2015,30152,150,0,0,0
2017,30152,150,0,0,0
2019,30152,150,0,0,0
2021,30152,150,0,0,0
1996,30152,160,0,0,0
1999,30152,160,0,0,0
2001,30152,160,0,0,0
2003,30152,160,0,0,0
2005,30152,160,102132,0,0
2007,30152,160,15169,0,0
2009,30152,160,29061,87183,0
2011,30152,160,0,15684,0
2013,30152,160,0,22381,0
2015,30152,160,0,0,0
2017,30152,160,0,0,0
2019,30152,160,25316,17066,0
2021,30152,160,0,0,0
1996,30152,170,0,0,0
1999,30152,170,0,0,0
2001,30152,170,0,0,0
2003,30152,170,15477,15477,0
2005,30152,170,47675,32661,0
2007,30152,170,9169,0,0
2009,30152,170,29061,58122,0
2011,30152,170,0,0,0
2013,30152,170,0,0,0
2015,30152,170,0,0,0
2017,30152,170,0,0,0
2019,30152,170,0,17066,0
2021,30152,170,0,0,0
1996,30152,180,0,0,0
1999,30152,180,0,0,0
2001,30152,180,0,0,0
2003,30152,180,0,0,0
2005,30152,180,0,0,0
2007,30152,180,0,14744,0
2009,30152,180,41025,0,0
2011,30152,180,0,0,0
2013,30152,180,22381,0,0
2015,30152,180,0,0,0
2017,30152,180,0,0,0
2019,30152,180,17066,0,0
2021,30152,180,0,0,0
1996,30152,190,12229,9433,0
1999,30152,190,0,0,0
2001,30152,190,117492,0,0
2003,30152,190,15477,0,0
2005,30152,190,120400,14481,0
2007,30152,190,15347,0,0
2009,30152,190,23928,47857,0
2011,30152,190,0,0,0
2013,30152,190,0,0,0
2015,30152,190,0,0,0
2017,30152,190,0,0,0
2019,30152,190,0,38630,0
2021,30152,190,0,0,0
1996,30152,200,9433,0,0
1999,30152,200,0,0,0
2001,30152,200,0,0,0
2003,30152,200,16259,0,0
2005,30152,200,60104,0,0
2007,30152,200,0,0,0
2009,30152,200,11964,0,0
2011,30152,200,26497,0,0
2013,30152,200,19083,22381,0
2015,30152,200,14639,0,0
2017,30152,200,0,0,0
2019,30152,200,0,0,0
2021,30152,200,0,0,0
1996,30152,210,104202,30530,0
1999,30152,210,18091,0,0
2001,30152,210,71846,0,0
2003,30152,210,0,7592,0
2005,30152,210,78662,25787,0
2007,30152,210,0,0,0
2009,30152,210,95800,58122,0
2011,30152,210,46646,10102,0
2013,30152,210,0,0,0
2015,30152,210,0,0,0
2017,30152,210,0,0,0
2019,30152,210,0,0,0
2021,30152,210,0,22666,0
1996,30152,220,33892,37730,0
1999,30152,220,18470,0,0
2001,30152,220,25636,34749,0
2003,30152,220,200860,46431,0
2005,30152,220,32661,118291,0
2007,30152,220,0,0,0
2009,30152,220,116243,174365,0
2011,30152,220,10102,10102,0
2013,30152,220,34907,25411,0
2015,30152,220,0,0,0
2017,30152,220,0,0,0
2019,30152,220,0,0,0
2021,30152,220,0,0,0
1996,30152,230,115570,80767,0
1999,30152,230,0,19676,0
2001,30152,230,79649,0,0
2003,30152,230,15477,7592,0
2005,30152,230,78604,41661,0
2007,30152,230,0,0,0
2009,30152,230,87183,424087,0
2011,30152,230,0,0,0
2013,30152,230,18069,0,0
2015,30152,230,0,0,0
2017,30152,230,18467,0,0
2019,30152,230,0,0,0
2021,30152,230,0,0,0
1996,30152,240,74745,50503,0
1999,30152,240,0,0,0
2001,30152,240,72190,66566,0
2003,30152,240,16384,27981,0
2005,30152,240,158790,50011,0
2007,30152,240,0,0,0
2009,30152,240,302573,249722,0
2011,30152,240,0,20205,0
2013,30152,240,18069,0,0
2015,30152,240,27712,0,0
2017,30152,240,25477,21615,0
2019,30152,240,0,0,0
2021,30152,240,0,0,0
1996,30152,250,86278,46121,0
1999,30152,250,40380,25538,0
2001,30152,250,38764,47041,0
2003,30152,250,15477,12504,0
2005,30152,250,154756,107553,0
2007,30152,250,25250,29489,0
2009,30152,250,138874,93173,0
2011,30152,250,0,0,0
2013,30152,250,18069,52977,0
2015,30152,250,29278,17268,0
2017,30152,250,14120,0,0
2019,30152,250,0,0,0
2021,30152,250,15859,22666,0
1996,30152,260,28590,0,0
1999,30152,260,0,0,0
2001,30152,260,77529,38764,0
2003,30152,260,12504,236779,0
2005,30152,260,58655,66125,0
2007,30152,260,24780,27121,0
2009,30152,260,244226,173496,0
