sim,year,species_code,ess,value
1,1984,REBS,ess_f,149.66091395977784
1,1987,REBS,ess_f,27.414637067869947
1,1990,REBS,ess_f,40.21243451469015
1,1993,REBS,ess_f,170.69010529610952
1,1996,REBS,ess_f,87.06722277754699
1,1999,REBS,ess_f,171.26311238479062
1,2003,REBS,ess_f,65.6203847261542
1,2005,REBS,ess_f,128.4663149410182
1,2007,REBS,ess_f,103.4230329288298
1,2009,REBS,ess_f,200.63810212528878
1,2011,REBS,ess_f,128.00317473796954
1,2013,REBS,ess_f,229.27642239923958
1,2015,REBS,ess_f,159.50028319163224
1,2017,REBS,ess_f,64.32807847157186
1,2019,REBS,ess_f,49.815965050814754
1,1984,REBS,ess_m,161.63261236931402
1,1987,REBS,ess_m,27.97939469836429
1,1990,REBS,ess_m,41.883007351725716
1,1993,REBS,ess_m,258.72479353537676
1,1996,REBS,ess_m,250.78028285921894
1,1999,REBS,ess_m,106.70455631132837
1,2003,REBS,ess_m,38.847516138515
1,2005,REBS,ess_m,130.20605935258453
1,2007,REBS,ess_m,149.26800630995865
1,2009,REBS,ess_m,226.7968559277301
1,2011,REBS,ess_m,53.021028148870336
1,2013,REBS,ess_m,266.2472556267174
1,2015,REBS,ess_m,66.47692502747425
1,2017,REBS,ess_m,149.70235116933682
1,2019,REBS,ess_m,45.14031133888698
1,1984,REBS,ess_t,313.4475333921833
1,1987,REBS,ess_t,64.84446823324733
1,1990,REBS,ess_t,84.51900574614712
1,1993,REBS,ess_t,316.10192796072374
1,1996,REBS,ess_t,227.11787013289418
1,1999,REBS,ess_t,188.13455030675166
1,2003,REBS,ess_t,126.88059052851673
1,2005,REBS,ess_t,257.21447092625715
1,2007,REBS,ess_t,211.49508649355136
1,2009,REBS,ess_t,445.5794803048784
1,2011,REBS,ess_t,251.9353048778551
1,2013,REBS,ess_t,484.43137546909725
1,2015,REBS,ess_t,194.80143242947133
1,2017,REBS,ess_t,176.45886596615725
1,2019,REBS,ess_t,98.43346115033735
2,1984,REBS,ess_f,11.659746721687476
2,1987,REBS,ess_f,36.99014811675509
2,1990,REBS,ess_f,69.9501730012732
2,1993,REBS,ess_f,126.38270373493356
2,1996,REBS,ess_f,74.30179479418734
2,1999,REBS,ess_f,164.35055343106376
2,2003,REBS,ess_f,74.6965849497976
2,2005,REBS,ess_f,42.88984285456995
2,2007,REBS,ess_f,86.3994207622521
2,2009,REBS,ess_f,168.57604993642371
2,2011,REBS,ess_f,52.43267924156767
2,2013,REBS,ess_f,151.20710813323612
2,2015,REBS,ess_f,65.0987194531286
2,2017,REBS,ess_f,115.8407743747067
2,2019,REBS,ess_f,84.76848525907123
2,1984,REBS,ess_m,9.021466119856079
2,1987,REBS,ess_m,97.17392852799293
2,1990,REBS,ess_m,51.86385362255214
2,1993,REBS,ess_m,100.6293516479918
2,1996,REBS,ess_m,122.19767291472603
2,1999,REBS,ess_m,82.48509627025125
2,2003,REBS,ess_m,123.83554612582928
2,2005,REBS,ess_m,39.73616504782006
2,2007,REBS,ess_m,73.93694575425529
2,2009,REBS,ess_m,190.43849727896978
2,2011,REBS,ess_m,141.2059764312089
2,2013,REBS,ess_m,235.43226810043527
2,2015,REBS,ess_m,105.92156858311807
2,2017,REBS,ess_m,159.28926264855693
2,2019,REBS,ess_m,42.60043351591576
2,1984,REBS,ess_t,17.469508675911747
2,1987,REBS,ess_t,120.91455091011574
2,1990,REBS,ess_t,96.05831838795073
2,1993,REBS,ess_t,211.94628633289537
2,1996,REBS,ess_t,141.1408622214175
2,1999,REBS,ess_t,267.4230263431732
2,2003,REBS,ess_t,187.807041238322
2,2005,REBS,ess_t,69.40039499856358
2,2007,REBS,ess_t,134.126496365973
2,2009,REBS,ess_t,285.334652482454
2,2011,REBS,ess_t,141.07866683177795
2,2013,REBS,ess_t,299.3549830551635
2,2015,REBS,ess_t,123.19727038293502
2,2017,REBS,ess_t,210.46080547713984
2,2019,REBS,ess_t,169.87275191244916
3,1984,REBS,ess_f,28.594850838302605
3,1987,REBS,ess_f,56.54716702503417
3,1990,REBS,ess_f,91.54343018826965
3,1993,REBS,ess_f,63.83824947422835
3,1996,REBS,ess_f,181.22906688874824
3,1999,REBS,ess_f,100.46359082803595
3,2003,REBS,ess_f,106.08317078426995
3,2005,REBS,ess_f,71.1145366310728
3,2007,REBS,ess_f,80.74745384415915
3,2009,REBS,ess_f,156.6458738064745
3,2011,REBS,ess_f,122.2500988011062
3,2013,REBS,ess_f,206.13690640813127
3,2015,REBS,ess_f,37.77361201871453
3,2017,REBS,ess_f,79.10608287113911
3,2019,REBS,ess_f,27.26698569794011
3,1984,REBS,ess_m,19.223545042424274
3,1987,REBS,ess_m,116.60578966154686
3,1990,REBS,ess_m,42.96175415790885
3,1993,REBS,ess_m,65.25345409123753
3,1996,REBS,ess_m,146.3057291161781
3,1999,REBS,ess_m,40.209397156133605
3,2003,REBS,ess_m,88.35332365565641
3,2005,REBS,ess_m,57.47750998742118
3,2007,REBS,ess_m,42.28648936564174
3,2009,REBS,ess_m,204.26736078917838
3,2011,REBS,ess_m,66.91047767836967
3,2013,REBS,ess_m,315.9413540301186
3,2015,REBS,ess_m,58.418119445807726
3,2017,REBS,ess_m,100.20102498116734
3,2019,REBS,ess_m,19.43853674076506
3,1984,REBS,ess_t,31.706507039055836
3,1987,REBS,ess_t,102.53430922221602
3,1990,REBS,ess_t,109.37408061692425
3,1993,REBS,ess_t,118.50331150116602
