sim,year,species_code,ess,value,in_out
3,2017,REBS,ess_f,290.9296149339262,in
3,2019,REBS,ess_f,46.17408018381925,in
3,2021,REBS,ess_f,540.6514044726523,in
3,1984,REBS,ess_m,376.900224380565,in
3,1987,REBS,ess_m,252.8593320747214,in
3,1990,REBS,ess_m,505.25201604527854,in
3,1993,REBS,ess_m,241.31521066688308,in
3,1996,REBS,ess_m,358.9701569064152,in
3,1999,REBS,ess_m,465.45594927379915,in
3,2001,REBS,ess_m,279.6506843480359,in
3,2003,REBS,ess_m,411.37430429253175,in
3,2005,REBS,ess_m,270.983835158693,in
3,2007,REBS,ess_m,802.2010898518788,in
3,2009,REBS,ess_m,402.23779295620756,in
3,2011,REBS,ess_m,544.9006338448542,in
3,2013,REBS,ess_m,331.38289728413895,in
3,2015,REBS,ess_m,574.4333395373486,in
3,2017,REBS,ess_m,273.57858769504395,in
3,2019,REBS,ess_m,80.95974684519229,in
3,2021,REBS,ess_m,284.110883832486,in
3,1984,REBS,ess_t,687.281957866938,in
3,1987,REBS,ess_t,288.2752431658985,in
3,1990,REBS,ess_t,1018.4920544347141,in
3,1993,REBS,ess_t,358.1643872785977,in
3,1996,REBS,ess_t,667.9617581520761,in
3,1999,REBS,ess_t,625.7405443702088,in
3,2001,REBS,ess_t,503.10942461512514,in
3,2003,REBS,ess_t,529.0433484097916,in
3,2005,REBS,ess_t,379.41815994149215,in
3,2007,REBS,ess_t,1107.4790035543008,in
3,2009,REBS,ess_t,461.40314657249013,in
3,2011,REBS,ess_t,719.8334757313243,in
3,2013,REBS,ess_t,608.8523576373435,in
3,2015,REBS,ess_t,1098.919912542152,in
3,2017,REBS,ess_t,521.4122111487021,in
3,2019,REBS,ess_t,72.56849388030085,in
3,2021,REBS,ess_t,531.6907307592983,in
4,1984,REBS,ess_f,190.66597624408547,in
4,1987,REBS,ess_f,615.581318603242,in
4,1990,REBS,ess_f,195.64821080935369,in
4,1993,REBS,ess_f,280.41075950911596,in
4,1996,REBS,ess_f,684.9433690638634,in
4,1999,REBS,ess_f,199.88215534819054,in
4,2001,REBS,ess_f,176.70573926340415,in
4,2003,REBS,ess_f,575.9624141150575,in
4,2005,REBS,ess_f,372.9131065214047,in
4,2007,REBS,ess_f,686.7476211665822,in
4,2009,REBS,ess_f,430.6721991715447,in
4,2011,REBS,ess_f,525.4748576262476,in
4,2013,REBS,ess_f,270.3002348268516,in
4,2015,REBS,ess_f,223.52832076079412,in
4,2017,REBS,ess_f,427.0508141688573,in
4,2019,REBS,ess_f,56.71598751178037,in
4,2021,REBS,ess_f,326.57165125854743,in
4,1984,REBS,ess_m,370.2508057065808,in
4,1987,REBS,ess_m,452.1379878657508,in
4,1990,REBS,ess_m,537.2938739170144,in
4,1993,REBS,ess_m,352.6532473960404,in
4,1996,REBS,ess_m,489.8991905391259,in
4,1999,REBS,ess_m,159.54879352830034,in
4,2001,REBS,ess_m,247.4578022065063,in
4,2003,REBS,ess_m,309.889183651203,in
4,2005,REBS,ess_m,329.9984053803082,in
4,2007,REBS,ess_m,483.0109511592251,in
4,2009,REBS,ess_m,413.37044306039314,in
4,2011,REBS,ess_m,432.36722920919925,in
4,2013,REBS,ess_m,204.0398467094839,in
4,2015,REBS,ess_m,11.952558713496906,in
4,2017,REBS,ess_m,200.6949921709081,in
4,2019,REBS,ess_m,88.71497255790254,in
4,2021,REBS,ess_m,315.31978482155483,in
4,1984,REBS,ess_t,421.32437562539934,in
4,1987,REBS,ess_t,762.1614140758774,in
4,1990,REBS,ess_t,373.6071130793707,in
4,1993,REBS,ess_t,477.1720713467609,in
4,1996,REBS,ess_t,947.3202965187086,in
4,1999,REBS,ess_t,193.89232950785694,in
4,2001,REBS,ess_t,301.1498076691642,in
4,2003,REBS,ess_t,675.7698223008649,in
4,2005,REBS,ess_t,490.126163540539,in
4,2007,REBS,ess_t,990.9115056821037,in
4,2009,REBS,ess_t,540.2077727501317,in
4,2011,REBS,ess_t,958.3528141079059,in
4,2013,REBS,ess_t,325.9962661233784,in
4,2015,REBS,ess_t,33.187535756230716,in
4,2017,REBS,ess_t,370.43812073063225,in
4,2019,REBS,ess_t,81.79192852521905,in
4,2021,REBS,ess_t,538.6187155595544,in
5,1984,REBS,ess_f,867.4332255892989,in
5,1987,REBS,ess_f,240.16700606944974,in
5,1990,REBS,ess_f,378.3981903561041,in
5,1993,REBS,ess_f,334.4580315010797,in
5,1996,REBS,ess_f,866.4786231581452,in
5,1999,REBS,ess_f,925.5211411121084,in
5,2001,REBS,ess_f,274.844916609257,in
5,2003,REBS,ess_f,623.493411907024,in
5,2005,REBS,ess_f,295.5741717520945,in
5,2007,REBS,ess_f,232.06677046209333,in
5,2009,REBS,ess_f,450.63059052025756,in
5,2011,REBS,ess_f,298.6797244643536,in
5,2013,REBS,ess_f,508.9612774265021,in
5,2015,REBS,ess_f,346.55331659042,in
5,2017,REBS,ess_f,524.8582712461642,in
5,2019,REBS,ess_f,531.2108751362196,in
5,2021,REBS,ess_f,221.29022467835202,in
5,1984,REBS,ess_m,574.6553859975525,in
5,1987,REBS,ess_m,163.87134054213644,in
5,1990,REBS,ess_m,210.27125421091685,in
5,1993,REBS,ess_m,476.2219312689986,in
5,1996,REBS,ess_m,517.3951480583951,in
5,1999,REBS,ess_m,743.1010788872164,in
5,2001,REBS,ess_m,396.034626968377,in
5,2003,REBS,ess_m,727.9467134874628,in
5,2005,REBS,ess_m,358.0865840227404,in
5,2007,REBS,ess_m,152.8277873449844,in
5,2009,REBS,ess_m,624.2045335785199,in
5,2011,REBS,ess_m,547.390236712,in
5,2013,REBS,ess_m,475.912878295508,in
5,2015,REBS,ess_m,385.2779817281826,in
5,2017,REBS,ess_m,534.9671511451804,in
5,2019,REBS,ess_m,379.97606095076685,in
5,2021,REBS,ess_m,203.42545181218384,in
5,1984,REBS,ess_t,1442.1362723095356,in
5,1987,REBS,ess_t,236.48939833370883,in
5,1990,REBS,ess_t,364.7748858598557,in
5,1993,REBS,ess_t,566.368951016713,in
5,1996,REBS,ess_t,1291.40990342857,in
5,1999,REBS,ess_t,1440.6854991819796,in
5,2001,REBS,ess_t,531.6136254614868,in
5,2003,REBS,ess_t,1034.9451990891755,in
5,2005,REBS,ess_t,495.9665352724018,in
5,2007,REBS,ess_t,218.6628049782962,in
5,2009,REBS,ess_t,1045.806229719347,in
5,2011,REBS,ess_t,580.7048995668423,in
5,2013,REBS,ess_t,1005.2072218114669,in
5,2015,REBS,ess_t,591.0379515430518,in
5,2017,REBS,ess_t,908.6753609923367,in
5,2019,REBS,ess_t,695.4921323262148,in
5,2021,REBS,ess_t,358.475250873009,in
6,1984,REBS,ess_f,530.776803768545,in
6,1987,REBS,ess_f,253.2589071800509,in
6,1990,REBS,ess_f,669.1150361272616,in
6,1993,REBS,ess_f,342.28642874038087,in
6,1996,REBS,ess_f,588.3603848993583,in
6,1999,REBS,ess_f,1154.06192946546,in
6,2001,REBS,ess_f,446.5921508689273,in
6,2003,REBS,ess_f,915.4452923386873,in
6,2005,REBS,ess_f,660.3150664084874,in
6,2007,REBS,ess_f,388.75737613394534,in
6,2009,REBS,ess_f,537.056800701856,in
6,2011,REBS,ess_f,354.32101180992896,in
6,2013,REBS,ess_f,235.44289098171933,in
6,2015,REBS,ess_f,147.82952002388225,in
6,2017,REBS,ess_f,406.1291506477384,in
6,2019,REBS,ess_f,54.763314940054826,in
6,2021,REBS,ess_f,321.14506569087143,in
6,1984,REBS,ess_m,267.16493048980476,in
6,1987,REBS,ess_m,626.5336821779443,in
6,1990,REBS,ess_m,612.1628713833582,in
6,1993,REBS,ess_m,750.3283486024635,in
6,1996,REBS,ess_m,748.5264779979696,in
6,1999,REBS,ess_m,647.7031314549055,in
6,2001,REBS,ess_m,488.7290394258737,in
6,2003,REBS,ess_m,607.284163937519,in
6,2005,REBS,ess_m,516.4345407290941,in
6,2007,REBS,ess_m,379.31529703109385,in
6,2009,REBS,ess_m,557.015028920862,in
6,2011,REBS,ess_m,570.3067720242707,in
6,2013,REBS,ess_m,286.3519088995257,in
6,2015,REBS,ess_m,239.24373219044563,in
6,2017,REBS,ess_m,269.1382638628526,in
6,2019,REBS,ess_m,68.50803365686035,in
6,2021,REBS,ess_m,316.35670397720935,in
6,1984,REBS,ess_t,630.8195092490486,in
6,1987,REBS,ess_t,481.46291292380545,in
6,1990,REBS,ess_t,950.3806680810659,in
6,1993,REBS,ess_t,709.0584325840786,in
6,1996,REBS,ess_t,1186.9995220222954,in
6,1999,REBS,ess_t,1593.0131836683208,in
6,2001,REBS,ess_t,934.3370663871373,in
6,2003,REBS,ess_t,1187.1520842011848,in
6,2005,REBS,ess_t,875.9158711484289,in
6,2007,REBS,ess_t,545.1156142723246,in
6,2009,REBS,ess_t,818.2961871287855,in
6,2011,REBS,ess_t,741.7595773965171,in
6,2013,REBS,ess_t,423.32886416896224,in
6,2015,REBS,ess_t,321.30920546857897,in
6,2017,REBS,ess_t,692.8586014760593,in
6,2019,REBS,ess_t,70.3682876061536,in
6,2021,REBS,ess_t,530.19624304665,in
7,1984,REBS,ess_f,218.07143991753728,in
7,1987,REBS,ess_f,650.7059564882185,in
7,1990,REBS,ess_f,334.9721640803177,in
7,1993,REBS,ess_f,326.29362711807136,in
7,1996,REBS,ess_f,594.965892419532,in
7,1999,REBS,ess_f,469.1972780467114,in
7,2001,REBS,ess_f,1044.6268271135334,in
7,2003,REBS,ess_f,219.31898085592675,in
7,2005,REBS,ess_f,741.5957902415931,in
7,2007,REBS,ess_f,970.8121643862509,in
7,2009,REBS,ess_f,648.8783065490693,in
7,2011,REBS,ess_f,489.4869579348426,in
7,2013,REBS,ess_f,183.31452916758457,in
7,2015,REBS,ess_f,472.18364954237467,in
7,2017,REBS,ess_f,318.562503137667,in
7,2019,REBS,ess_f,198.04367378671455,in
7,2021,REBS,ess_f,229.5233928615083,in
7,1984,REBS,ess_m,429.6805327099064,in
7,1987,REBS,ess_m,411.94249781017186,in
7,1990,REBS,ess_m,235.49715128231892,in
7,1993,REBS,ess_m,299.83173639883273,in
7,1996,REBS,ess_m,561.695335921129,in
7,1999,REBS,ess_m,355.9281571565095,in
7,2001,REBS,ess_m,683.7578185312053,in
7,2003,REBS,ess_m,201.0454569309656,in
7,2005,REBS,ess_m,729.0985576613314,in
7,2007,REBS,ess_m,886.7812764948264,in
7,2009,REBS,ess_m,1405.850048761145,in
7,2011,REBS,ess_m,1259.3161200499194,in
7,2013,REBS,ess_m,273.392665444752,in
7,2015,REBS,ess_m,568.4918181493813,in
7,2017,REBS,ess_m,413.1264655487666,in
7,2019,REBS,ess_m,252.0484912003422,in
7,2021,REBS,ess_m,255.10494328857212,in
7,1984,REBS,ess_t,581.5141013353307,in
7,1987,REBS,ess_t,769.7457760185036,in
7,1990,REBS,ess_t,356.4088976169405,in
7,1993,REBS,ess_t,389.48596017543696,in
7,1996,REBS,ess_t,1083.1305697505215,in
7,1999,REBS,ess_t,564.6033923883242,in
7,2001,REBS,ess_t,1395.443055186653,in
7,2003,REBS,ess_t,268.676506529882,in
7,2005,REBS,ess_t,1275.001872918493,in
7,2007,REBS,ess_t,1607.5874380461726,in
7,2009,REBS,ess_t,1798.805522822377,in
7,2011,REBS,ess_t,1311.713123703481,in
7,2013,REBS,ess_t,327.0071380332664,in
7,2015,REBS,ess_t,886.6976308159321,in
7,2017,REBS,ess_t,516.503778798694,in
7,2019,REBS,ess_t,315.0596711244341,in
7,2021,REBS,ess_t,371.7111546902795,in
8,1984,REBS,ess_f,452.0399247086713,in
8,1987,REBS,ess_f,145.76095415412374,in
8,1990,REBS,ess_f,373.06743770542465,in
8,1993,REBS,ess_f,951.5921316235809,in
8,1996,REBS,ess_f,450.5944330455011,in
8,1999,REBS,ess_f,420.01629693069776,in
8,2001,REBS,ess_f,138.3058757625843,in
8,2003,REBS,ess_f,702.0864828004972,in
8,2005,REBS,ess_f,868.160023562993,in
8,2007,REBS,ess_f,1182.0136848342024,in
8,2009,REBS,ess_f,333.7891344344231,in
8,2011,REBS,ess_f,576.5015961927589,in
8,2013,REBS,ess_f,227.4690882189881,in
8,2015,REBS,ess_f,229.31317761150737,in
8,2017,REBS,ess_f,251.8040896904272,in
8,2019,REBS,ess_f,127.73491391960798,in
8,2021,REBS,ess_f,426.5193965076413,in
8,1984,REBS,ess_m,418.43953555607015,in
8,1987,REBS,ess_m,157.89145973933825,in
8,1990,REBS,ess_m,247.00448549375145,in
8,1993,REBS,ess_m,367.0568358254773,in
8,1996,REBS,ess_m,495.7258149034413,in
8,1999,REBS,ess_m,359.0858459014472,in
8,2001,REBS,ess_m,144.59738234439914,in
8,2003,REBS,ess_m,515.3264268977624,in
8,2005,REBS,ess_m,516.8134137521392,in
8,2007,REBS,ess_m,1101.6785231835509,in
8,2009,REBS,ess_m,561.9865258472806,in
8,2011,REBS,ess_m,562.8216481016439,in
8,2013,REBS,ess_m,352.3562106366772,in
8,2015,REBS,ess_m,396.447454390281,in
8,2017,REBS,ess_m,261.9215171904315,in
8,2019,REBS,ess_m,162.4412699837332,in
8,2021,REBS,ess_m,466.85370220763747,in
8,1984,REBS,ess_t,873.055784720861,in
8,1987,REBS,ess_t,191.8267616058057,in
8,1990,REBS,ess_t,402.9307687473177,in
8,1993,REBS,ess_t,674.1961938926478,in
8,1996,REBS,ess_t,1060.8412076361483,in
8,1999,REBS,ess_t,531.0604347037859,in
8,2001,REBS,ess_t,184.821710844281,in
8,2003,REBS,ess_t,754.8876357176629,in
8,2005,REBS,ess_t,936.5679770027396,in
8,2007,REBS,ess_t,2201.4745447648875,in
8,2009,REBS,ess_t,619.8818886240553,in
8,2011,REBS,ess_t,923.6237282721928,in
8,2013,REBS,ess_t,559.9583104402267,in
8,2015,REBS,ess_t,528.3363689269946,in
8,2017,REBS,ess_t,327.1810569264867,in
8,2019,REBS,ess_t,176.12391071600814,in
8,2021,REBS,ess_t,705.9899591764907,in
9,1984,REBS,ess_f,147.55047976345358,in
9,1987,REBS,ess_f,226.20182043526216,in
9,1990,REBS,ess_f,1164.4720702619868,in
9,1993,REBS,ess_f,909.3674178726205,in
9,1996,REBS,ess_f,351.52751826088866,in
9,1999,REBS,ess_f,358.9861476426919,in
9,2001,REBS,ess_f,350.74151528255055,in
9,2003,REBS,ess_f,610.1172023704895,in
9,2005,REBS,ess_f,663.3502523536764,in
9,2007,REBS,ess_f,776.5679352577392,in
9,2009,REBS,ess_f,578.8877357094519,in
9,2011,REBS,ess_f,411.37271091402357,in
9,2013,REBS,ess_f,249.0181686826041,in
9,2015,REBS,ess_f,166.37991021244463,in
9,2017,REBS,ess_f,221.4644128896917,in
9,2019,REBS,ess_f,168.03415114565118,in
9,2021,REBS,ess_f,383.12798293247437,in
9,1984,REBS,ess_m,374.0887705519698,in
9,1987,REBS,ess_m,786.491929245139,in
9,1990,REBS,ess_m,742.7216806917598,in
9,1993,REBS,ess_m,379.3747747905273,in
9,1996,REBS,ess_m,277.06371630830307,in
9,1999,REBS,ess_m,232.09200948287452,in
9,2001,REBS,ess_m,318.12440375512347,in
9,2003,REBS,ess_m,548.318002433375,in
9,2005,REBS,ess_m,612.9739384625957,in
9,2007,REBS,ess_m,425.4299488131202,in
9,2009,REBS,ess_m,543.8961855334459,in
9,2011,REBS,ess_m,296.31850306999314,in
9,2013,REBS,ess_m,562.8752649916246,in
9,2015,REBS,ess_m,204.86732554756563,in
9,2017,REBS,ess_m,190.3484603797423,in
9,2019,REBS,ess_m,162.450772483521,in
9,2021,REBS,ess_m,234.96838542573036,in
9,1984,REBS,ess_t,340.76251192936274,in
9,1987,REBS,ess_t,612.2572032045223,in
9,1990,REBS,ess_t,2233.745020673843,in
9,1993,REBS,ess_t,665.6676556592131,in
9,1996,REBS,ess_t,432.963283869476,in
9,1999,REBS,ess_t,412.3096064478525,in
9,2001,REBS,ess_t,601.8388065079242,in
9,2003,REBS,ess_t,1092.7374866863256,in
9,2005,REBS,ess_t,1193.713604754245,in
9,2007,REBS,ess_t,1011.2605411486687,in
9,2009,REBS,ess_t,686.434254260624,in
9,2011,REBS,ess_t,710.6166371037085,in
9,2013,REBS,ess_t,577.5501592535536,in
9,2015,REBS,ess_t,345.90502874347663,in
9,2017,REBS,ess_t,399.9204538938613,in
9,2019,REBS,ess_t,182.5159776418601,in
9,2021,REBS,ess_t,498.1525343506761,in
10,1984,REBS,ess_f,498.1651903916275,in
10,1987,REBS,ess_f,303.5913673939686,in
10,1990,REBS,ess_f,692.9314753347905,in
10,1993,REBS,ess_f,499.432589843319,in
10,1996,REBS,ess_f,424.4430424912759,in
10,1999,REBS,ess_f,323.4984520561478,in
10,2001,REBS,ess_f,405.0898182846098,in
10,2003,REBS,ess_f,388.49371745872173,in
10,2005,REBS,ess_f,387.48656868082185,in
10,2007,REBS,ess_f,460.72446457810304,in
