sim,year,species_code,ess,value
1,1984,REBS,ess_f,106.07652616251761
1,1987,REBS,ess_f,2.1582655314785915
1,1990,REBS,ess_f,4.116312040248445
1,1993,REBS,ess_f,18.873401217706625
1,1996,REBS,ess_f,98.71894765584554
1,1999,REBS,ess_f,70.51853392088172
1,2001,REBS,ess_f,170.17928132125382
1,2003,REBS,ess_f,21.69185174348458
1,2005,REBS,ess_f,146.32847923568735
1,2007,REBS,ess_f,111.74758816769592
1,2009,REBS,ess_f,233.2247505206999
1,2011,REBS,ess_f,314.7966087721617
1,2013,REBS,ess_f,59.62939196202725
1,2015,REBS,ess_f,141.80652908639559
1,2017,REBS,ess_f,91.30385442649327
1,2019,REBS,ess_f,255.6661129093835
1,1984,REBS,ess_m,139.05889240455883
1,1987,REBS,ess_m,6.06512715040315
1,1990,REBS,ess_m,3.298860416573364
1,1993,REBS,ess_m,19.49034752925531
1,1996,REBS,ess_m,44.769061590725244
1,1999,REBS,ess_m,13.110909103716416
1,2001,REBS,ess_m,187.42193657000655
1,2003,REBS,ess_m,43.84225764761216
1,2005,REBS,ess_m,250.9602339981581
1,2007,REBS,ess_m,32.93553279080727
1,2009,REBS,ess_m,179.20027152029462
1,2011,REBS,ess_m,102.73693398586839
1,2013,REBS,ess_m,85.19932879900746
1,2015,REBS,ess_m,166.03486999964423
1,2017,REBS,ess_m,38.36922917701733
1,2019,REBS,ess_m,202.2334608782715
1,1984,REBS,ess_t,134.07273577262856
1,1987,REBS,ess_t,3.5852137927861176
1,1990,REBS,ess_t,7.151563316347831
1,1993,REBS,ess_t,20.36753532761451
1,1996,REBS,ess_t,140.6993514897244
1,1999,REBS,ess_t,35.02011679971117
1,2001,REBS,ess_t,346.6192162163307
1,2003,REBS,ess_t,36.833330502220655
1,2005,REBS,ess_t,301.7204006977312
1,2007,REBS,ess_t,78.42828432834548
1,2009,REBS,ess_t,340.5653233407545
1,2011,REBS,ess_t,398.4524041494059
1,2013,REBS,ess_t,130.18957438548568
1,2015,REBS,ess_t,257.2299884554328
1,2017,REBS,ess_t,86.72783363280784
1,2019,REBS,ess_t,446.9238224119713
2,1984,REBS,ess_f,14.15551322284708
2,1987,REBS,ess_f,30.029483480559712
2,1990,REBS,ess_f,94.12464229381618
2,1993,REBS,ess_f,86.95254109448118
2,1996,REBS,ess_f,203.39044050158347
2,1999,REBS,ess_f,114.36426823296588
2,2001,REBS,ess_f,177.00448330428623
2,2003,REBS,ess_f,3.346702814406961
2,2005,REBS,ess_f,96.43994239638837
2,2007,REBS,ess_f,413.6828013626171
2,2009,REBS,ess_f,68.1176349187949
2,2011,REBS,ess_f,254.51511212039932
2,2013,REBS,ess_f,119.530447966471
2,2015,REBS,ess_f,119.50669578848935
2,2017,REBS,ess_f,136.75681952717966
2,2019,REBS,ess_f,176.34669190849186
2,1984,REBS,ess_m,24.829403845601828
2,1987,REBS,ess_m,51.75989262726104
2,1990,REBS,ess_m,35.80460666613562
2,1993,REBS,ess_m,66.4536061393565
2,1996,REBS,ess_m,107.89356836309736
2,1999,REBS,ess_m,58.260077815491655
2,2001,REBS,ess_m,69.2008322519632
2,2003,REBS,ess_m,5.443043825695604
2,2005,REBS,ess_m,70.07177856509618
2,2007,REBS,ess_m,199.50757272650785
2,2009,REBS,ess_m,110.37697007497745
2,2011,REBS,ess_m,89.79497505145338
2,2013,REBS,ess_m,84.32541250119573
2,2015,REBS,ess_m,161.07276333664095
2,2017,REBS,ess_m,93.00221323139701
2,2019,REBS,ess_m,120.23813659934551
2,1984,REBS,ess_t,28.38413714138875
2,1987,REBS,ess_t,39.78027716923315
2,1990,REBS,ess_t,76.88112026413741
2,1993,REBS,ess_t,84.90621710588998
2,1996,REBS,ess_t,254.69233384686402
2,1999,REBS,ess_t,235.6532671146467
2,2001,REBS,ess_t,144.02531448072162
2,2003,REBS,ess_t,6.414154024368024
2,2005,REBS,ess_t,99.87972284872984
2,2007,REBS,ess_t,332.60548800229486
2,2009,REBS,ess_t,106.45478788736847
2,2011,REBS,ess_t,271.54475954362556
2,2013,REBS,ess_t,193.89421142795914
2,2015,REBS,ess_t,385.5600645697074
2,2017,REBS,ess_t,170.48878427050641
2,2019,REBS,ess_t,370.53901817488065
3,1984,REBS,ess_f,121.06121056114536
3,1987,REBS,ess_f,9.059958017820174
3,1990,REBS,ess_f,25.913491531581833
3,1993,REBS,ess_f,258.83096504870883
3,1996,REBS,ess_f,71.49626220982123
3,1999,REBS,ess_f,74.27724503571456
3,2001,REBS,ess_f,260.33657658873835
3,2003,REBS,ess_f,40.84694811998876
3,2005,REBS,ess_f,100.77617549118969
3,2007,REBS,ess_f,154.29579129877283
3,2009,REBS,ess_f,57.18022803710302
3,2011,REBS,ess_f,180.44356989547705
3,2013,REBS,ess_f,78.48520064528743
3,2015,REBS,ess_f,194.78324186516693
3,2017,REBS,ess_f,158.56129371094033
3,2019,REBS,ess_f,133.86931824517904
3,1984,REBS,ess_m,175.48308885356553
3,1987,REBS,ess_m,27.644752663396698
3,1990,REBS,ess_m,15.148325121743571
3,1993,REBS,ess_m,107.1272351808094
3,1996,REBS,ess_m,334.08925945031086
3,1999,REBS,ess_m,70.19087395124211
3,2001,REBS,ess_m,311.5050393502458
