sim,year,species_code,ess,value
1,1984,REBS,ess_f,138.3469658184901
1,1987,REBS,ess_f,21.63575373922679
1,1990,REBS,ess_f,15.227912551342726
1,1993,REBS,ess_f,27.22078458014119
1,1996,REBS,ess_f,57.89834270037254
1,1999,REBS,ess_f,30.196313216313193
1,2001,REBS,ess_f,142.38048430106127
1,2003,REBS,ess_f,20.310744641331645
1,2005,REBS,ess_f,63.23293212408231
1,2007,REBS,ess_f,101.97771505077228
1,2009,REBS,ess_f,119.84200404845055
1,2011,REBS,ess_f,75.84423523841976
1,2013,REBS,ess_f,96.35010231199169
1,2015,REBS,ess_f,143.54096194937907
1,2017,REBS,ess_f,105.94658543080031
1,2019,REBS,ess_f,180.11221262767035
1,1984,REBS,ess_m,80.95352972906788
1,1987,REBS,ess_m,11.165672350115587
1,1990,REBS,ess_m,10.98510147390281
1,1993,REBS,ess_m,74.3061130909356
1,1996,REBS,ess_m,160.21345680105142
1,1999,REBS,ess_m,18.880339380844102
1,2001,REBS,ess_m,165.66693334557488
1,2003,REBS,ess_m,79.7406412595273
1,2005,REBS,ess_m,56.57678330375219
1,2007,REBS,ess_m,73.63955775699957
1,2009,REBS,ess_m,128.6055107002151
1,2011,REBS,ess_m,25.477618489900035
1,2013,REBS,ess_m,121.84729253225628
1,2015,REBS,ess_m,54.93303688691096
1,2017,REBS,ess_m,124.80356001426446
1,2019,REBS,ess_m,79.85712290425583
1,1984,REBS,ess_t,348.3987057883236
1,1987,REBS,ess_t,18.149886627045188
1,1990,REBS,ess_t,20.591623870619333
1,1993,REBS,ess_t,65.09253688736466
1,1996,REBS,ess_t,141.0713170114672
1,1999,REBS,ess_t,49.67559592181043
1,2001,REBS,ess_t,277.0289961857585
1,2003,REBS,ess_t,56.2176309455383
1,2005,REBS,ess_t,92.47625209243725
1,2007,REBS,ess_t,194.62589232610173
1,2009,REBS,ess_t,249.97232173343943
1,2011,REBS,ess_t,75.91532256060148
1,2013,REBS,ess_t,137.9433751443561
1,2015,REBS,ess_t,158.5655382424272
1,2017,REBS,ess_t,220.42930198438484
1,2019,REBS,ess_t,255.4340834503088
2,1984,REBS,ess_f,74.50048168265262
2,1987,REBS,ess_f,25.15582799634109
2,1990,REBS,ess_f,9.806061702279502
2,1993,REBS,ess_f,40.09734093039631
2,1996,REBS,ess_f,46.929614136750416
2,1999,REBS,ess_f,17.679720085606625
2,2001,REBS,ess_f,96.1724874494764
2,2003,REBS,ess_f,19.450428803011462
2,2005,REBS,ess_f,43.52411168452047
2,2007,REBS,ess_f,129.53966005424004
2,2009,REBS,ess_f,62.877036489020945
2,2011,REBS,ess_f,276.1024664011112
2,2013,REBS,ess_f,210.161550099713
2,2015,REBS,ess_f,48.417295272685294
2,2017,REBS,ess_f,115.37517599080765
2,2019,REBS,ess_f,89.05548461717548
2,1984,REBS,ess_m,104.51808544392578
2,1987,REBS,ess_m,14.859258074674564
2,1990,REBS,ess_m,12.801874358207982
2,1993,REBS,ess_m,28.047313819417504
2,1996,REBS,ess_m,61.7651117402372
2,1999,REBS,ess_m,6.201587643127962
2,2001,REBS,ess_m,142.1400246366172
2,2003,REBS,ess_m,23.702735756816114
2,2005,REBS,ess_m,34.66747167142752
2,2007,REBS,ess_m,132.70073619860742
2,2009,REBS,ess_m,34.97753251093926
2,2011,REBS,ess_m,99.76528833762889
2,2013,REBS,ess_m,146.79735229023345
2,2015,REBS,ess_m,109.21445100295969
2,2017,REBS,ess_m,55.449820670284076
2,2019,REBS,ess_m,71.49827558296688
2,1984,REBS,ess_t,153.37981457289277
2,1987,REBS,ess_t,21.54561393377818
2,1990,REBS,ess_t,14.2062563041199
2,1993,REBS,ess_t,39.48039674062063
2,1996,REBS,ess_t,74.40501364080548
2,1999,REBS,ess_t,23.889627098506075
2,2001,REBS,ess_t,262.44731866558533
2,2003,REBS,ess_t,24.945819389417437
2,2005,REBS,ess_t,44.29141346112333
2,2007,REBS,ess_t,172.94802817569865
2,2009,REBS,ess_t,108.35997142825676
2,2011,REBS,ess_t,300.28992727839056
2,2013,REBS,ess_t,274.6357054431824
2,2015,REBS,ess_t,116.82029168772249
2,2017,REBS,ess_t,146.59293336275607
2,2019,REBS,ess_t,129.59292211831433
3,1984,REBS,ess_f,26.726122466277968
3,1987,REBS,ess_f,86.39256859553043
3,1990,REBS,ess_f,17.016037151648472
3,1993,REBS,ess_f,53.283998104111966
3,1996,REBS,ess_f,47.07118230553291
3,1999,REBS,ess_f,55.36019368960215
3,2001,REBS,ess_f,90.4787940605045
3,2003,REBS,ess_f,31.953456491705072
3,2005,REBS,ess_f,122.41844387774326
3,2007,REBS,ess_f,86.77106651925078
3,2009,REBS,ess_f,122.14902633829998
3,2011,REBS,ess_f,70.07070222606137
3,2013,REBS,ess_f,67.06574455963296
3,2015,REBS,ess_f,206.96275203711772
3,2017,REBS,ess_f,63.54512989753888
3,2019,REBS,ess_f,89.41453381966193
3,1984,REBS,ess_m,36.55184495870827
3,1987,REBS,ess_m,102.38319991318065
3,1990,REBS,ess_m,33.17542956723872
3,1993,REBS,ess_m,102.73984648798799
3,1996,REBS,ess_m,20.598442704405098
3,1999,REBS,ess_m,23.071197798803006
3,2001,REBS,ess_m,73.03579625935072
3,2003,REBS,ess_m,38.69745121199044
3,2005,REBS,ess_m,93.02577033223348
3,2007,REBS,ess_m,27.05469941640752
3,2009,REBS,ess_m,190.590789927885
3,2011,REBS,ess_m,136.49988586363543
3,2013,REBS,ess_m,48.13053114774496
3,2015,REBS,ess_m,120.39424772329151
3,2017,REBS,ess_m,43.12781031278239
3,2019,REBS,ess_m,185.14904900204567
3,1984,REBS,ess_t,44.415503670186126
3,1987,REBS,ess_t,98.22411557825686
3,1990,REBS,ess_t,39.13013999061603
3,1993,REBS,ess_t,211.30154711320068
3,1996,REBS,ess_t,41.61473126805632
3,1999,REBS,ess_t,125.13373430904582
3,2001,REBS,ess_t,100.09032190360733
3,2003,REBS,ess_t,44.61582732429781
3,2005,REBS,ess_t,337.70112074739916
3,2007,REBS,ess_t,62.9661544017034
3,2009,REBS,ess_t,237.2355078109056
3,2011,REBS,ess_t,155.95862697449974
3,2013,REBS,ess_t,155.68106332340778
3,2015,REBS,ess_t,289.1280530285832
3,2017,REBS,ess_t,74.99616892464785
3,2019,REBS,ess_t,208.27447466987869
4,1984,REBS,ess_f,31.853231465707193
4,1987,REBS,ess_f,32.2526030818583
4,1990,REBS,ess_f,8.007970779502362
4,1993,REBS,ess_f,37.36571394058171
4,1996,REBS,ess_f,104.48764727706998
4,1999,REBS,ess_f,90.8779380952857
4,2001,REBS,ess_f,108.55986876900798
4,2003,REBS,ess_f,4.8546878561671125
4,2005,REBS,ess_f,99.83526247947994
4,2007,REBS,ess_f,38.07526402290321
4,2009,REBS,ess_f,69.96753398559457
4,2011,REBS,ess_f,110.56672709230125
4,2013,REBS,ess_f,68.76271518920879
4,2015,REBS,ess_f,271.02373849139263
4,2017,REBS,ess_f,114.69477810552313
4,2019,REBS,ess_f,168.07803157098368
4,1984,REBS,ess_m,41.620439262340604
4,1987,REBS,ess_m,38.45281615767157
4,1990,REBS,ess_m,9.965213726942164
4,1993,REBS,ess_m,29.69529429174616
4,1996,REBS,ess_m,188.7826471022078
4,1999,REBS,ess_m,28.764165925661203
4,2001,REBS,ess_m,59.41802670352713
4,2003,REBS,ess_m,5.840600008229329
4,2005,REBS,ess_m,119.04117527745863
4,2007,REBS,ess_m,66.91029168708145
4,2009,REBS,ess_m,33.53260510193478
4,2011,REBS,ess_m,44.67567357235609
4,2013,REBS,ess_m,87.28211746657647
4,2015,REBS,ess_m,95.98872502133018
4,2017,REBS,ess_m,100.32693023319155
4,2019,REBS,ess_m,150.70061172516264
4,1984,REBS,ess_t,74.50670053999532
4,1987,REBS,ess_t,54.15781249148531
4,1990,REBS,ess_t,15.15449399650701
4,1993,REBS,ess_t,54.319739916593875
4,1996,REBS,ess_t,200.92779841847255
4,1999,REBS,ess_t,92.71348287396854
4,2001,REBS,ess_t,125.59820705403489
4,2003,REBS,ess_t,7.589200682541727
4,2005,REBS,ess_t,221.0399519969019
4,2007,REBS,ess_t,68.5497594112342
4,2009,REBS,ess_t,104.96334339516496
4,2011,REBS,ess_t,112.70459148784592
4,2013,REBS,ess_t,132.7234717125276
4,2015,REBS,ess_t,313.8019757189551
4,2017,REBS,ess_t,213.3741966730889
4,2019,REBS,ess_t,245.48816960879435
5,1987,REBS,ess_f,21.68694772266326
5,1990,REBS,ess_f,23.67101538660128
5,1993,REBS,ess_f,18.946230207358003
5,1996,REBS,ess_f,177.61719402649098
5,1999,REBS,ess_f,71.34195390208782
5,2001,REBS,ess_f,446.39047631563614
5,2003,REBS,ess_f,3.0367861686494733
