sim,year,species_code,ess,value
1,1984,DR,ess_f,76.01629999953668
1,1987,DR,ess_f,10.133714261720069
1,1990,DR,ess_f,9.327108985124505
1,1993,DR,ess_f,28.771924671126822
1,1996,DR,ess_f,30.408847309594503
1,1999,DR,ess_f,39.65047771265862
1,2001,DR,ess_f,75.05019402018257
1,2003,DR,ess_f,4.036951792366843
1,2005,DR,ess_f,29.206411912624002
1,2007,DR,ess_f,128.1133208065192
1,2009,DR,ess_f,64.51869554990967
1,2011,DR,ess_f,22.122647246977756
1,2013,DR,ess_f,52.42374175019104
1,2015,DR,ess_f,94.81727426584295
1,2017,DR,ess_f,67.26721328788194
1,2019,DR,ess_f,63.18910595861017
1,1984,DR,ess_m,41.217089326214776
1,1987,DR,ess_m,14.92558753944416
1,1990,DR,ess_m,2.879153564743117
1,1993,DR,ess_m,38.829014941805575
1,1996,DR,ess_m,68.1152854444665
1,1999,DR,ess_m,17.823108623235793
1,2001,DR,ess_m,35.95336061592996
1,2003,DR,ess_m,2.8819824411569606
1,2005,DR,ess_m,57.27600048774985
1,2007,DR,ess_m,87.6442169997608
1,2009,DR,ess_m,128.09353334922767
1,2011,DR,ess_m,61.659645329828834
1,2013,DR,ess_m,19.09753435450096
1,2015,DR,ess_m,63.35429421648409
1,2017,DR,ess_m,31.761634228863162
1,2019,DR,ess_m,46.75767357447084
1,1984,DR,ess_t,151.8065872546936
1,1987,DR,ess_t,12.919062476436626
1,1990,DR,ess_t,13.720742959541985
1,1993,DR,ess_t,40.445829362548416
1,1996,DR,ess_t,58.62857077236276
1,1999,DR,ess_t,57.831678983444974
1,2001,DR,ess_t,57.52142842811311
1,2003,DR,ess_t,4.606834071301317
1,2005,DR,ess_t,51.06728748410387
1,2007,DR,ess_t,221.8955528818345
1,2009,DR,ess_t,292.48848292874453
1,2011,DR,ess_t,37.33646474437271
1,2013,DR,ess_t,43.99740943425196
1,2015,DR,ess_t,139.97645712574956
1,2017,DR,ess_t,56.027930968530974
1,2019,DR,ess_t,81.38630189645444
2,1984,DR,ess_f,64.78399737338037
2,1987,DR,ess_f,26.87126350383841
2,1990,DR,ess_f,8.017964936112769
2,1993,DR,ess_f,84.59578847518901
2,1996,DR,ess_f,222.1414404888672
2,1999,DR,ess_f,72.52043212129742
2,2001,DR,ess_f,141.91519363194428
2,2003,DR,ess_f,7.197724122489647
2,2005,DR,ess_f,46.234158103899205
2,2007,DR,ess_f,114.62061321494046
2,2009,DR,ess_f,106.17361289834288
2,2011,DR,ess_f,123.89501866008949
2,2013,DR,ess_f,306.5098703074372
2,2015,DR,ess_f,82.16860855586162
2,2017,DR,ess_f,132.2311954109958
2,2019,DR,ess_f,112.69433549369208
2,1984,DR,ess_m,7.8115470701323035
2,1987,DR,ess_m,15.992576016029005
2,1990,DR,ess_m,23.450771908074056
2,1993,DR,ess_m,43.24177775393729
2,1996,DR,ess_m,234.88987075481958
2,1999,DR,ess_m,55.17599136547944
2,2001,DR,ess_m,135.5350681013639
2,2003,DR,ess_m,21.45179385713419
2,2005,DR,ess_m,75.72839629004824
2,2007,DR,ess_m,91.6366347683786
2,2009,DR,ess_m,94.40374846958704
2,2011,DR,ess_m,70.75388786295302
2,2013,DR,ess_m,100.1476847011496
2,2015,DR,ess_m,52.152886426660515
2,2017,DR,ess_m,64.89426047269875
2,2019,DR,ess_m,68.71640838582849
2,1984,DR,ess_t,34.140941721849245
2,1987,DR,ess_t,23.206361839041538
2,1990,DR,ess_t,25.605403647051823
2,1993,DR,ess_t,87.19654793265549
2,1996,DR,ess_t,367.04394798838734
2,1999,DR,ess_t,112.16525126510555
2,2001,DR,ess_t,200.65363004097318
2,2003,DR,ess_t,13.571264649408931
2,2005,DR,ess_t,95.98251588978394
2,2007,DR,ess_t,130.959236941385
2,2009,DR,ess_t,213.6255711015644
2,2011,DR,ess_t,211.40052771077873
2,2013,DR,ess_t,242.46802562954767
2,2015,DR,ess_t,85.38925098943584
2,2017,DR,ess_t,139.85565140464502
2,2019,DR,ess_t,162.41763619615267
3,1984,DR,ess_f,104.42993420256252
3,1987,DR,ess_f,252.13356771392577
3,1990,DR,ess_f,11.894906211892357
3,1993,DR,ess_f,101.42021922691792
3,1996,DR,ess_f,52.11764510510182
3,1999,DR,ess_f,83.341808398475
3,2001,DR,ess_f,208.93854691554097
3,2003,DR,ess_f,5.974220937092739
3,2005,DR,ess_f,47.55194560474105
3,2007,DR,ess_f,45.19975625790965
3,2009,DR,ess_f,42.47214088326784
3,2011,DR,ess_f,26.069950627284374
3,2013,DR,ess_f,85.88755954606893
3,2015,DR,ess_f,113.63138754969378
3,2017,DR,ess_f,84.59454153352102
3,2019,DR,ess_f,79.52945954831523
3,1984,DR,ess_m,18.896139493065874
3,1987,DR,ess_m,68.27316188317829
3,1990,DR,ess_m,22.43259436723137
3,1993,DR,ess_m,58.070105520372124
3,1996,DR,ess_m,109.77443740733948
3,1999,DR,ess_m,3.53107579750524
3,2001,DR,ess_m,93.48878499137565
3,2003,DR,ess_m,5.117210073658438
3,2005,DR,ess_m,40.896174759388245
3,2007,DR,ess_m,75.67687438938123
3,2009,DR,ess_m,55.43139825725704
3,2011,DR,ess_m,87.2359314141403
3,2013,DR,ess_m,104.60691343799826
3,2015,DR,ess_m,111.43195026881044
3,2017,DR,ess_m,62.761885542585944
3,2019,DR,ess_m,46.724667418457315
3,1984,DR,ess_t,80.46855545535061
3,1987,DR,ess_t,171.6662811640373
3,1990,DR,ess_t,29.619288370047002
3,1993,DR,ess_t,145.12246660796896
3,1996,DR,ess_t,95.21939255610395
3,1999,DR,ess_t,30.77255559722658
3,2001,DR,ess_t,195.07497934322643
3,2003,DR,ess_t,10.156179119165754
3,2005,DR,ess_t,53.81953140844107
3,2007,DR,ess_t,70.59758774004838
3,2009,DR,ess_t,115.54318447630789
3,2011,DR,ess_t,60.94004286962392
3,2013,DR,ess_t,190.9624521045168
3,2015,DR,ess_t,226.65975952420706
3,2017,DR,ess_t,141.74122532426142
3,2019,DR,ess_t,93.87706276336695
4,1984,DR,ess_f,174.5527152581803
4,1987,DR,ess_f,20.99970996743469
4,1990,DR,ess_f,7.5236394668653075
4,1993,DR,ess_f,97.14365071666535
4,1996,DR,ess_f,47.77316183074347
4,1999,DR,ess_f,126.22935734572502
4,2001,DR,ess_f,66.7962914396166
4,2003,DR,ess_f,9.604580728512806
4,2005,DR,ess_f,135.37372796651215
4,2007,DR,ess_f,32.05449381250061
4,2009,DR,ess_f,237.6253921868112
4,2011,DR,ess_f,186.34696083708215
4,2013,DR,ess_f,147.15814162345518
4,2015,DR,ess_f,170.82604118814407
4,2017,DR,ess_f,133.41189184721526
4,2019,DR,ess_f,233.43127814467445
4,1984,DR,ess_m,22.311594528468436
4,1987,DR,ess_m,15.401530652272994
4,1990,DR,ess_m,9.084100026346926
4,1993,DR,ess_m,64.72018691101896
4,1996,DR,ess_m,131.59344808862912
4,1999,DR,ess_m,4.347920666046837
4,2001,DR,ess_m,57.31424831285841
4,2003,DR,ess_m,35.68919951225392
4,2005,DR,ess_m,60.397360948931315
4,2007,DR,ess_m,60.59887680628307
4,2009,DR,ess_m,67.31645652867184
4,2011,DR,ess_m,106.2712392956605
4,2013,DR,ess_m,169.73716911318004
4,2015,DR,ess_m,97.29344811282509
4,2017,DR,ess_m,31.856860561785552
4,2019,DR,ess_m,86.50882988696182
4,1984,DR,ess_t,54.14363478351087
4,1987,DR,ess_t,19.30980292189196
4,1990,DR,ess_t,8.70357095611639
4,1993,DR,ess_t,127.54687836122969
4,1996,DR,ess_t,147.19844722193122
4,1999,DR,ess_t,36.99114335929519
4,2001,DR,ess_t,77.0269070252403
4,2003,DR,ess_t,20.7791030192895
4,2005,DR,ess_t,142.26280407558977
4,2007,DR,ess_t,51.08412520183563
4,2009,DR,ess_t,169.05148178114743
4,2011,DR,ess_t,343.2662744507317
4,2013,DR,ess_t,306.8360250309972
4,2015,DR,ess_t,269.0305199339431
4,2017,DR,ess_t,96.12205656424736
4,2019,DR,ess_t,302.24750238906876
5,1987,DR,ess_f,21.992625177701743
5,1990,DR,ess_f,4.787064826920722
5,1993,DR,ess_f,15.90166315050359
5,1996,DR,ess_f,119.80823967070424
5,1999,DR,ess_f,49.61836053970726
5,2001,DR,ess_f,85.10908816043778
5,2003,DR,ess_f,29.657610925265153
5,2005,DR,ess_f,39.614360457617266
5,2007,DR,ess_f,65.8412418566585
5,2009,DR,ess_f,66.73385908524295
5,2011,DR,ess_f,267.170135170441
5,2013,DR,ess_f,376.8931939274654
5,2015,DR,ess_f,151.58046011589278
5,2017,DR,ess_f,44.8674802511272
5,2019,DR,ess_f,158.16710141720336
5,1987,DR,ess_m,15.103525688283513
5,1990,DR,ess_m,10.150527485523291
5,1993,DR,ess_m,11.129409392750873
5,1996,DR,ess_m,177.0427561940519
5,1999,DR,ess_m,1.3839853132643352
5,2001,DR,ess_m,38.615971379194704
5,2003,DR,ess_m,19.081517480422146
5,2005,DR,ess_m,44.562443939457154
5,2007,DR,ess_m,33.534254518676576
5,2009,DR,ess_m,19.209508623725018
5,2011,DR,ess_m,65.07796309013898
5,2013,DR,ess_m,174.93421698536815
5,2015,DR,ess_m,63.01011841258418
5,2017,DR,ess_m,34.395397711321905
5,2019,DR,ess_m,92.30496718238449
5,1987,DR,ess_t,19.634883670418162
5,1990,DR,ess_t,10.685489907595837
5,1993,DR,ess_t,16.99914194762578
5,1996,DR,ess_t,277.64445933349236
5,1999,DR,ess_t,9.92269701698628
5,2001,DR,ess_t,69.71089611205014
5,2003,DR,ess_t,32.77811963084813
5,2005,DR,ess_t,52.674323221293655
5,2007,DR,ess_t,65.58167772744599
5,2009,DR,ess_t,46.033057880096784
5,2011,DR,ess_t,196.9357424023259
5,2013,DR,ess_t,452.40448070052247
5,2015,DR,ess_t,191.73989696378797
5,2017,DR,ess_t,58.515638912726864
5,2019,DR,ess_t,189.22254422803223
6,1984,DR,ess_f,25.5205346859611
6,1987,DR,ess_f,124.8392048644482
6,1990,DR,ess_f,49.37381773023662
6,1993,DR,ess_f,216.0499577324138
6,1996,DR,ess_f,136.13210321442654
6,1999,DR,ess_f,22.103125038932152
6,2001,DR,ess_f,29.8334745604415
6,2003,DR,ess_f,51.749771082999324
6,2005,DR,ess_f,131.5599352173093
6,2007,DR,ess_f,97.53721673950167
6,2009,DR,ess_f,203.56879277997365
6,2011,DR,ess_f,41.231151358222945
6,2013,DR,ess_f,93.5136455143113
6,2015,DR,ess_f,101.28244655514446
6,2017,DR,ess_f,134.9390623220352
6,2019,DR,ess_f,68.528298450163
6,1984,DR,ess_m,13.536013652828876
6,1987,DR,ess_m,68.95983308319715
6,1990,DR,ess_m,22.845690570211538
6,1993,DR,ess_m,113.53914211195493
6,1996,DR,ess_m,134.46713348065623
6,1999,DR,ess_m,9.786285182107736
6,2001,DR,ess_m,81.75357973700278
6,2003,DR,ess_m,26.48911897424455
6,2005,DR,ess_m,86.51964323783467
6,2007,DR,ess_m,45.26421872886347
6,2009,DR,ess_m,125.94377032383693
6,2011,DR,ess_m,96.89226435252236
6,2013,DR,ess_m,84.31936488983513
6,2015,DR,ess_m,78.63298334553023
6,2017,DR,ess_m,246.74432112029078
6,2019,DR,ess_m,115.50050702163469
6,1984,DR,ess_t,43.67859499927254
6,1987,DR,ess_t,163.18366114348035
6,1990,DR,ess_t,59.562196843469934
6,1993,DR,ess_t,209.42057867640148
6,1996,DR,ess_t,299.422399449259
6,1999,DR,ess_t,49.13719703147828
6,2001,DR,ess_t,61.06213539035887
6,2003,DR,ess_t,80.65651594296408
6,2005,DR,ess_t,201.00054340525787
6,2007,DR,ess_t,95.52784033318312
6,2009,DR,ess_t,219.56623815322638
6,2011,DR,ess_t,117.34135552898587
6,2013,DR,ess_t,182.5675865713413
6,2015,DR,ess_t,345.68586142547787
6,2017,DR,ess_t,318.75095012319537
6,2019,DR,ess_t,169.23121043582557
7,1984,DR,ess_f,27.26414406373461
7,1987,DR,ess_f,193.71501769868013
7,1990,DR,ess_f,15.110514000702508
7,1993,DR,ess_f,74.9757587508359
7,1996,DR,ess_f,152.4940623225592
7,1999,DR,ess_f,52.734238593949264
7,2001,DR,ess_f,916.9189022193844
7,2003,DR,ess_f,2.0445071002717237
7,2005,DR,ess_f,87.77813084776646
7,2007,DR,ess_f,65.33614236796807
7,2009,DR,ess_f,116.79845904081857
7,2011,DR,ess_f,120.20928251874088
7,2013,DR,ess_f,47.8085419189059
7,2015,DR,ess_f,99.4469002372651
7,2017,DR,ess_f,41.48428748760422
7,2019,DR,ess_f,74.6996257092776
7,1984,DR,ess_m,5.888056782791633
7,1987,DR,ess_m,104.48539105892488
7,1990,DR,ess_m,2.6964559188475876
7,1993,DR,ess_m,33.75822559060529
7,1996,DR,ess_m,139.89759926021378
7,1999,DR,ess_m,64.51369886468738
7,2001,DR,ess_m,224.36475259865787
7,2003,DR,ess_m,1.6809114385709958
7,2005,DR,ess_m,103.32238611030189
7,2007,DR,ess_m,86.31957290135776
7,2009,DR,ess_m,129.78262101964867
7,2011,DR,ess_m,225.8309765338929
7,2013,DR,ess_m,78.38091290335416
7,2015,DR,ess_m,55.9760740736396
7,2017,DR,ess_m,97.63285518109073
7,2019,DR,ess_m,117.83228584037955
7,1984,DR,ess_t,13.16355143417323
7,1987,DR,ess_t,312.11980226434696
7,1990,DR,ess_t,23.377050407047726
7,1993,DR,ess_t,73.73529240769845
7,1996,DR,ess_t,369.94806151704876
7,1999,DR,ess_t,119.97978518211794
7,2001,DR,ess_t,620.3708884053242
7,2003,DR,ess_t,3.7548626863869554
7,2005,DR,ess_t,189.22698206703498
7,2007,DR,ess_t,114.35896763049452
7,2009,DR,ess_t,150.37319833363222
7,2011,DR,ess_t,250.20289680292527
7,2013,DR,ess_t,126.04976902981872
7,2015,DR,ess_t,180.67041496938623
7,2017,DR,ess_t,89.0654713983276
7,2019,DR,ess_t,137.98680428871458
8,1984,DR,ess_f,16.11007643922019
8,1987,DR,ess_f,54.67263495930482
8,1990,DR,ess_f,12.095755395422742
8,1993,DR,ess_f,95.07839038851841
8,1996,DR,ess_f,64.33340177056111
8,1999,DR,ess_f,68.78920349161781
