year,species_code,length,males,females,unsexed
2017,10110,450,3348591,8861439,0
2018,10110,450,2487139,17203133,0
2019,10110,450,7869606,16445056,0
2021,10110,450,3012458,13810315,57408
2017,10110,460,1846022,6041806,0
2018,10110,460,3371748,13867674,0
2019,10110,460,4852545,16560302,0
2021,10110,460,3371024,10175051,132077
2017,10110,470,1409389,6981122,0
2018,10110,470,1461279,16100218,0
2019,10110,470,3336169,18301363,0
2021,10110,470,2098487,9115676,57408
2017,10110,480,1958648,6452908,0
2018,10110,480,1923728,11236643,0
2019,10110,480,2312330,15804054,0
2021,10110,480,1105724,7689053,0
2017,10110,490,534874,6329150,0
2018,10110,490,236452,9666975,0
2019,10110,490,1669241,16348091,0
2021,10110,490,1047387,8806429,0
2017,10110,500,334476,6474030,0
2018,10110,500,478593,7551466,0
2019,10110,500,848689,13126296,0
2021,10110,500,708420,9178169,29431
2017,10110,510,175847,8022038,0
2018,10110,510,225700,6145387,0
2019,10110,510,729710,11908777,0
2021,10110,510,854056,5672341,0
2017,10110,520,98373,7662105,0
2018,10110,520,49702,7025285,0
2019,10110,520,72591,9146369,0
2021,10110,520,0,7744152,0
2017,10110,530,110165,8172761,0
2018,10110,530,331632,7979334,0
2019,10110,530,135617,8190049,0
2021,10110,530,567647,6209229,0
2017,10110,540,61208,8058377,0
2018,10110,540,122063,6663680,0
2019,10110,540,93735,5606027,0
2021,10110,540,78613,4826114,0
2017,10110,550,103696,8901818,0
2018,10110,550,107013,6845643,0
2019,10110,550,86510,5549550,0
2021,10110,550,107972,4205315,86839
2017,10110,560,0,9867748,0
2018,10110,560,119288,7297797,0
2019,10110,560,172285,4949751,0
2021,10110,560,138089,4329856,0
2017,10110,570,0,6836915,0
2018,10110,570,243612,7663099,0
2019,10110,570,28488,5751416,0
2021,10110,570,22158,2289249,0
2017,10110,580,29593,7327307,0
2018,10110,580,57171,6592276,0
2019,10110,580,89397,4779747,0
2021,10110,580,0,2594299,0
2017,10110,590,101381,7266187,0
2018,10110,590,129002,7637978,0
2019,10110,590,72766,6273998,0
2021,10110,590,50483,2001993,0
2017,10110,600,0,5014493,0
2018,10110,600,103515,7763559,0
2019,10110,600,74003,6252753,0
2021,10110,600,40589,1164477,0
2017,10110,610,0,3584348,0
2018,10110,610,60350,4706936,0
2019,10110,610,227472,5381763,0
2021,10110,610,0,1472226,0
2017,10110,620,0,3862418,0
2018,10110,620,57171,5052737,49160
2019,10110,620,76537,4877121,0
2021,10110,620,0,1208738,0
2017,10110,630,0,4482869,0
2018,10110,630,28856,5057070,0
2019,10110,630,0,4128317,0
2021,10110,630,62076,1140715,0
2017,10110,640,60856,2304566,0
2018,10110,640,28586,2614281,0
2019,10110,640,134032,3942646,0
2021,10110,640,48043,2052057,0
2017,10110,650,28923,1510767,0
2018,10110,650,57171,2430405,0
2019,10110,650,28974,4077122,0
2021,10110,650,0,1369201,0
2017,10110,660,0,1904986,0
2018,10110,660,41060,1642099,0
2019,10110,660,0,2382233,0
2021,10110,660,0,2304139,0
2017,10110,670,0,830154,0
2018,10110,670,0,1217989,0
2019,10110,670,0,1884253,0
2021,10110,670,0,1602924,0
2017,10110,680,0,925356,0
2018,10110,680,0,984662,0
2019,10110,680,0,1209264,0
2021,10110,680,0,1014781,0
2017,10110,690,0,438836,0
2018,10110,690,28586,1107731,0
2019,10110,690,0,873927,0
2021,10110,690,0,740358,0
2017,10110,700,0,146247,0
2018,10110,700,0,254066,0
2019,10110,700,0,606460,0
2021,10110,700,0,396412,0
2017,10110,710,0,370745,0
2018,10110,710,0,27923,0
2019,10110,710,0,773669,0
2021,10110,710,0,1083254,0
2017,10110,720,0,314517,0
2018,10110,720,0,16548,0
2019,10110,720,0,72508,0
2021,10110,720,0,111305,0
2017,10110,730,0,89377,0
2018,10110,730,0,70315,0
2019,10110,730,0,0,0
2021,10110,730,0,199886,0
2017,10110,740,0,80735,0
2018,10110,740,0,0,0
