Stock,Type,Female,Male,Total
arrowtooth flounder,nominal,391,148,539
,iss, HMMM , HMMM , HMMM 
Greenland turbot,nominal,239,254,493
,iss,62,78,114
Kamchatka flounder,nominal,365,296,661
,iss,141,114,223
Pacific ocean perch,nominal,207,192,404
,iss,51,53,93
