Stock,Type,Female,Male,Total
arrowtooth flounder,nominal,"4,623","1,138","5,761"
,iss, HMMM , HMMM , HMMM 
Greenland turbot,nominal,578,"1,017","1,595"
,iss,172,232,335
Kamchatka flounder,nominal,"1,345","1,915","3,260"
,iss,382,403,698
Pacific ocean perch,nominal,"1,378","1,759","3,191"
,iss,74,81,137
