sim,year,species_code,ess,value,in_out
5,2012,10115,ess_m,174.26766156584227,in
5,2016,10115,ess_m,146.995479869207,in
5,2008,30060,ess_m,60.593895046512124,in
5,2012,30060,ess_m,104.88218544491718,in
5,2016,30060,ess_m,133.34316797509774,in
5,2008,10112,ess_t,819.5694961298915,in
5,2012,10112,ess_t,887.1620549772437,in
5,2016,10112,ess_t,854.8134390595466,in
5,2008,10115,ess_t,533.7661296428233,in
5,2012,10115,ess_t,256.79792465988857,in
5,2016,10115,ess_t,281.08979551405474,in
5,2008,30060,ess_t,87.90987084449203,in
5,2012,30060,ess_t,136.0933818951488,in
5,2016,30060,ess_t,279.5194207660239,in
6,2008,10112,ess_f,293.6397812283234,in
6,2012,10112,ess_f,504.2085934510487,in
6,2016,10112,ess_f,354.65716099777217,in
6,2008,10115,ess_f,190.6512414555385,in
6,2012,10115,ess_f,121.46382314969864,in
6,2016,10115,ess_f,284.5821313895911,in
6,2008,30060,ess_f,39.51826228934401,in
6,2012,30060,ess_f,203.39916724402644,in
6,2016,30060,ess_f,152.20888420754767,in
6,2008,10112,ess_m,284.3638756462869,in
6,2012,10112,ess_m,292.1492784459275,in
6,2016,10112,ess_m,532.5325344817329,in
6,2008,10115,ess_m,251.29227213176287,in
6,2012,10115,ess_m,368.986557479427,in
6,2016,10115,ess_m,608.159220563156,in
6,2008,30060,ess_m,215.59820105817855,in
6,2012,30060,ess_m,170.49245988662275,in
6,2016,30060,ess_m,318.49632531952096,in
6,2008,10112,ess_t,386.43858118350335,in
6,2012,10112,ess_t,647.8461415336839,in
6,2016,10112,ess_t,705.086982716676,in
6,2008,10115,ess_t,318.361262920461,in
6,2012,10115,ess_t,413.9730615220922,in
6,2016,10115,ess_t,1127.6197093836654,in
6,2008,30060,ess_t,102.95390410676715,in
6,2012,30060,ess_t,618.2080707414813,in
6,2016,30060,ess_t,269.26682303138114,in
7,2008,10112,ess_f,151.9650169058905,in
7,2012,10112,ess_f,458.4822108933584,in
7,2016,10112,ess_f,497.76137517746264,in
7,2008,10115,ess_f,200.91466841947872,in
7,2012,10115,ess_f,313.55735748270206,in
7,2016,10115,ess_f,212.422000716593,in
7,2008,30060,ess_f,86.4859989867701,in
7,2012,30060,ess_f,125.6400676506621,in
7,2016,30060,ess_f,231.63158424475427,in
7,2008,10112,ess_m,307.9916342314105,in
7,2012,10112,ess_m,273.36242540799844,in
7,2016,10112,ess_m,457.84342037116727,in
7,2008,10115,ess_m,544.1431095076933,in
7,2012,10115,ess_m,215.10750338715295,in
7,2016,10115,ess_m,234.84880236057083,in
7,2008,30060,ess_m,318.16340314092366,in
7,2012,30060,ess_m,176.0489207216571,in
7,2016,30060,ess_m,223.13946539741633,in
7,2008,10112,ess_t,383.68897208570235,in
7,2012,10112,ess_t,723.821623312227,in
7,2016,10112,ess_t,834.1629864162678,in
