year,species_code,length,males,females,unsexed
1994,REBS,280,23447,102263,0
1997,REBS,280,24176,16415,0
2000,REBS,280,3800,6879,0
2002,REBS,280,3498,4306,0
2004,REBS,280,3985,6620,0
1980,REBS,290,0,0,0
1983,REBS,290,132758,106608,0
1986,REBS,290,142291,64807,0
1991,REBS,290,106282,33045,0
1994,REBS,290,34637,72593,0
1997,REBS,290,18934,15903,0
2000,REBS,290,31329,25814,0
2002,REBS,290,14386,18648,0
2004,REBS,290,28496,16451,0
1980,REBS,300,0,0,0
1983,REBS,300,178055,162037,0
1986,REBS,300,389392,214801,0
1991,REBS,300,53659,32910,0
1994,REBS,300,99244,95340,0
1997,REBS,300,13187,6594,0
2000,REBS,300,61342,19297,0
2002,REBS,300,22985,5066,0
2004,REBS,300,0,16618,0
1980,REBS,310,4605,4605,0
1983,REBS,310,238455,190281,0
1986,REBS,310,360518,375199,0
1991,REBS,310,81633,124458,0
1994,REBS,310,117450,131937,0
1997,REBS,310,29241,35846,0
2000,REBS,310,6341,14321,0
2002,REBS,310,41998,3193,0
2004,REBS,310,15641,44628,0
1980,REBS,320,0,9213,0
1983,REBS,320,286232,196962,0
1986,REBS,320,413703,314759,0
1991,REBS,320,41594,109502,0
1994,REBS,320,108630,112704,0
1997,REBS,320,36024,44951,0
2000,REBS,320,27673,13464,0
2002,REBS,320,47292,3193,0
2004,REBS,320,32763,32204,0
1980,REBS,330,0,0,0
1983,REBS,330,259611,197452,0
1986,REBS,330,604994,512957,0
1991,REBS,330,50475,141440,0
1994,REBS,330,103998,151592,0
1997,REBS,330,19697,55172,0
2000,REBS,330,48738,40338,0
2002,REBS,330,19496,28292,0
2004,REBS,330,19547,33427,0
1980,REBS,340,105354,40299,0
1983,REBS,340,267070,228453,0
1986,REBS,340,620733,713600,0
1991,REBS,340,71728,126921,0
1994,REBS,340,141808,202988,0
1997,REBS,340,48465,74900,0
2000,REBS,340,63932,46626,0
2002,REBS,340,53638,60850,0
2004,REBS,340,26044,21007,0
1980,REBS,350,9213,4605,0
1983,REBS,350,315949,273959,0
1986,REBS,350,1116247,826577,0
1991,REBS,350,187644,188637,0
1994,REBS,350,208848,145077,0
1997,REBS,350,43977,18927,0
2000,REBS,350,57882,65876,0
2002,REBS,350,57759,8259,0
2004,REBS,350,74913,19155,0
1980,REBS,360,20150,80599,0
1983,REBS,360,270212,471379,0
1986,REBS,360,945913,1147753,0
1991,REBS,360,132695,162310,0
1994,REBS,360,140765,213391,0
1997,REBS,360,78814,79316,0
2000,REBS,360,56052,102623,4573
2002,REBS,360,78924,153383,0
2004,REBS,360,95339,109553,0
1980,REBS,370,40299,40299,0
1983,REBS,370,342639,335006,0
1986,REBS,370,658395,708326,0
1991,REBS,370,83624,188209,0
1994,REBS,370,236819,280899,0
1997,REBS,370,84320,139622,0
2000,REBS,370,80187,124304,0
2002,REBS,370,73890,95938,0
2004,REBS,370,91737,143977,0
1980,REBS,380,20150,89812,0
1983,REBS,380,560750,384951,0
1986,REBS,380,1669428,711146,0
1991,REBS,380,206543,131970,0
1994,REBS,380,296145,249231,0
1997,REBS,380,193937,175545,0
2000,REBS,380,129758,111071,9145
2002,REBS,380,93427,124474,0
2004,REBS,380,139669,129690,0
1980,REBS,390,161198,161198,0
1983,REBS,390,473376,332709,0
1986,REBS,390,1192103,1004819,0
1991,REBS,390,121293,194848,0
1994,REBS,390,285434,349949,0
1997,REBS,390,246353,266935,0
2000,REBS,390,163772,178495,13718
2002,REBS,390,114928,168170,0
2004,REBS,390,189617,255963,0
1980,REBS,400,141048,154865,0
1983,REBS,400,608424,450661,0
1986,REBS,400,1252630,1562323,0
1991,REBS,400,245437,235489,0
1994,REBS,400,437080,376869,0
1997,REBS,400,253600,133497,0
2000,REBS,400,237599,336278,9145
2002,REBS,400,242112,210052,0
2004,REBS,400,175459,216597,0
1980,REBS,410,251010,165803,0
1983,REBS,410,516226,350330,0
1986,REBS,410,1305831,1523499,0
1991,REBS,410,271445,270167,0
1994,REBS,410,462028,633582,0
1997,REBS,410,455985,321069,0
2000,REBS,410,431524,283299,41154
2002,REBS,410,221738,192565,0
2004,REBS,410,302695,245775,0
1980,REBS,420,215314,367300,0
1983,REBS,420,533087,472335,0
1986,REBS,420,1917069,2056074,0
1991,REBS,420,522574,469486,0
1994,REBS,420,520894,667092,0
1997,REBS,420,358194,475180,0
2000,REBS,420,510398,338174,27436
2002,REBS,420,297236,240074,0
2004,REBS,420,352764,584516,0
1980,REBS,430,367300,282096,0
1983,REBS,430,620972,440050,0
1986,REBS,430,2157363,2286909,0
1991,REBS,430,311946,270254,0
1994,REBS,430,512812,593325,0
1997,REBS,430,494470,352012,0
2000,REBS,430,435931,520018,59445
2002,REBS,430,477217,297293,0
2004,REBS,430,572655,446724,0
1980,REBS,440,240071,201497,0
1983,REBS,440,599566,366877,0
1986,REBS,440,2449114,2832175,0
1991,REBS,440,409436,482195,0
1994,REBS,440,559590,474936,0
1997,REBS,440,505478,412442,0
2000,REBS,440,706691,535968,27436
2002,REBS,440,381490,389692,0
2004,REBS,440,471796,567609,0
1980,REBS,450,161198,150261,0
1983,REBS,450,473656,458939,0
1986,REBS,450,2257728,2025170,0
1991,REBS,450,289618,312311,0
1994,REBS,450,378191,443529,0
1997,REBS,450,464891,389836,0
2000,REBS,450,722533,601444,27436
2002,REBS,450,437407,231759,0
2004,REBS,450,388441,668604,0
1980,REBS,460,246402,165803,0
1983,REBS,460,326146,172778,0
1986,REBS,460,1658979,1605802,0
1991,REBS,460,127528,211228,0
1994,REBS,460,276608,320901,0
1997,REBS,460,302471,314965,0
2000,REBS,460,513840,604172,22863
2002,REBS,460,301731,293477,0
2004,REBS,460,477098,545410,0
1980,REBS,470,100749,40299,0
1983,REBS,470,342483,209644,0
1986,REBS,470,1477577,1287805,0
1991,REBS,470,131836,226364,0
1994,REBS,470,154262,184881,0
1997,REBS,470,238284,257123,0
2000,REBS,470,420980,475182,4573
2002,REBS,470,339747,356381,0
2004,REBS,470,385367,503068,0
1980,REBS,480,100749,145653,0
1983,REBS,480,121784,176618,0
1986,REBS,480,556118,959166,0
1991,REBS,480,118531,149189,0
1994,REBS,480,109127,113946,0
1997,REBS,480,253861,231585,0
2000,REBS,480,277108,310719,4573
